screen_name,group,file,description
"Home – Overview (empty)","HomeScreen","iPhone 13 mini - 361.png","Home dashboard showing today's overview cards and empty Active trips/Requested quotes placeholders."
"Home – Overview (active)","HomeScreen","iPhone 13 mini - 371.png","Home dashboard with populated counters and active trip/requested quote cards plus quick stats carousel."
"Home – Edit Company Info","HomeScreen","iPhone 13 mini - 372.png","Company Info edit form (company, owner, license, address, city/state/country) with Update action."
"Home – Company Summary","HomeScreen","iPhone 13 mini - 373.png","Company profile summary cards (Company, Contact, Documents, Bank, Emergency) with inline edit."
"Home – Select Company (actions)","HomeScreen","Location-1.png","Select your Company list with search, add-new, saved companies, and overflow actions (edit/delete)."
"Home – Select Company","HomeScreen","Location.png","Select your Company list with search and add-new; saved companies selectable (no overflow open)."
"Quotes – List (public/private)","Add Quote","iPhone 13 mini - 404.png","Quotes list with Public/Private tabs, search/filter, quote cards with statuses, and floating add button."
"Add Quote – Cargo Information","Add Quote","iPhone 13 mini - 405.png","Quote creation step: cargo type, product, weight, truck type with progress bar and navigation."
"Add Quote – Market Type","Add Quote","iPhone 13 mini - 409.png","Quote creation step: choose Individuals vs Open Forum with Back/Next navigation."
"Add Quote – Success","Add Quote","iPhone 13 mini - 445.png","Quote created successfully confirmation with check icon and Go to Home action."
"Add Quote – Pickup & Drop","Add Quote","iPhone 13 mini - 447.png","Quote creation step: pickup/drop locations, dates, times with step progress and navigation."
"New Quote – Cargo (Individual)","New Quote Individual","iPhone 13 mini - 427.png","Individual quote flow: cargo information form with step progress."
"New Quote – Pickup & Drop (Individual)","New Quote Individual","iPhone 13 mini - 428.png","Individual quote flow: pickup/drop details form with dates and times."
"New Quote – Market Type (Individual)","New Quote Individual","iPhone 13 mini - 429.png","Individual quote flow: choose Individuals vs Open Forum."
"New Quote – Select Company (search)","New Quote Individual","iPhone 13 mini - 430.png","Individual quote flow: select company search (empty list) with progress and navigation."
"New Quote – Success (Individual)","New Quote Individual","iPhone 13 mini - 446.png","Quote created successfully confirmation with Go to Home."
"New Quote – Select Company (list)","New Quote Individual","iPhone 13 mini - 448.png","Individual quote flow: select company from list of options."
"New Quote – Selected Companies","New Quote Individual","iPhone 13 mini - 452.png","Individual quote flow: selected company chips shown before proceeding."
"Onboarding – Phone Entry","Onabording Screen","iPhone 13 mini - 337.png","Login/Sign Up requesting mobile number with country picker and Continue."
"Onboarding – OTP (empty)","Onabording Screen","iPhone 13 mini - 339.png","OTP verification empty state with resend link; disabled Continue."
"Onboarding – OTP (timer)","Onabording Screen","iPhone 13 mini - 340.png","OTP verification with countdown timer under inputs; disabled Continue."
"Onboarding – OTP Success","Onabording Screen","iPhone 13 mini - 341.png","OTP verification successful with banner and enabled Continue."
"Onboarding – OTP Error","Onabording Screen","iPhone 13 mini - 342.png","OTP verification invalid code error with Resend link; disabled Continue."
"Onboarding – Profile Basics","Onabording Screen","iPhone 13 mini - 343.png","Capture name/email with photo prompt and Continue CTA."
"Onboarding – Login Success","Onabording Screen","iPhone 13 mini - 344.png","Logged in successfully message prompting to add truck company details next."
"Onboarding – Company Details","Onabording Screen","iPhone 13 mini - 346.png","Company details form (name, owner, license, address, city/state/country, pin) with progress."
"Onboarding – Persona (Company)","Onabording Screen","iPhone 13 mini - 348.png","Persona selection with Company selected vs Individuals."
"Onboarding – Persona (Individuals)","Onabording Screen","iPhone 13 mini - 349.png","Persona selection with Individuals selected vs Company."
"Onboarding – Upload Docs (company)","Onabording Screen","iPhone 13 mini - 350.png","Upload documents step with registration and TIN certificate placeholders."
"Onboarding – Upload Docs (files added)","Onabording Screen","iPhone 13 mini - 351.png","Upload documents step showing uploaded registration and TIN files with remove actions."
"Onboarding – Emergency Info","Onabording Screen","iPhone 13 mini - 352.png","Emergency contact step capturing alternate contact, phone, and address with Create action."
"Onboarding – Company Created","Onabording Screen","iPhone 13 mini - 353.png","Company created success confirmation with Go to Home."
"Onboarding – Bank Details","Onabording Screen","iPhone 13 mini - 354.png","Bank details step capturing tax/banking fields and account selectors with progress."
"Onboarding – Personal Info","Onabording Screen","iPhone 13 mini - 355.png","Personal info step capturing name, gender, DOB, marital status with photo prompt."
"Onboarding – Contact Info","Onabording Screen","iPhone 13 mini - 356.png","Contact info step capturing phone, email, address, state, city."
"Onboarding – Upload ID","Onabording Screen","iPhone 13 mini - 357.png","Upload personal ID step: national ID number and NIDA certificate upload."
"Onboarding – Account Completed","Onabording Screen","iPhone 13 mini - 358.png","Account completion success confirmation with Go to Home CTA."
"Private Quote – List","Private Quote","iPhone 13 mini - 431.png","Private tab quotes list with search/filter and quote card showing Awaiting Bid."
"Private Quote – Filters","Private Quote","iPhone 13 mini - 432.png","Filter bottom sheet (status chips accepted/pending/rejected/completed, duration presets) with apply/clear."
"Private Quote – Details (Info)","Private Quote","iPhone 13 mini - 433.png","Quotation Details info tab with route timeline, cargo info, pickup/drop in pending state."
"Private Quote – Details (Bid)","Private Quote","iPhone 13 mini - 434.png","Quotation Details bid tab showing selected company offer card."
"Private Quote – Bid Bottom Sheet","Private Quote","iPhone 13 mini - 436.png","Bid detail sheet with bid price, platform fee, total price, chat, Accept/Reject."
"Private Quote – Accept Confirm","Private Quote","iPhone 13 mini - 437.png","Accept offer confirmation modal with Yes/No actions."
"Private Quote – Accepted (Pending Trip)","Private Quote","iPhone 13 mini - 439.png","Quotation Details accepted state; trip status pending; accepted bid summary with pricing and call."
"Private Quote – Accepted (Active Trip)","Private Quote","iPhone 13 mini - 440.png","Quotation Details with active trip progress, accepted bid, pricing, and Download Invoice CTA."
"Profile – Hub","Profile","iPhone 13 mini - 394.png","Profile hub with avatar, metrics, and menu links (Company Info, Help & Support, FAQs, Terms, Settings) plus Logout."
"Profile – Company Details","Profile","iPhone 13 mini - 395.png","Company Details view showing owner info (name/phone/email) with edit affordance."
"Profile – Edit Company","Profile","iPhone 13 mini - 398.png","Edit Company Info form (name, phone, email) with Update action."
"Profile – Terms & Conditions","Profile","iPhone 13 mini - 399.png","Terms & Conditions content page with legal text and scrollable body."
"Profile – Help Chat","Profile","iPhone 13 mini - 400.png","Help & Support chat conversation view with message composer."
"Profile – Notifications","Profile","iPhone 13 mini - 401.png","Settings > Notifications toggles for SMS/Whatsapp/Push and Delete Account action."
"Profile – Photo Update","Profile","iPhone 13 mini - 402.png","Profile picture update sheet with select/take/remove photo options and Update button."
"Profile – Help Modal","Profile","iPhone 13 mini - 403.png","Help & Support modal with contact options (Chat, Call, Email) from profile."
"Quote – List (Public)","Quote","iPhone 13 mini - 385.png","Quotes list public tab with multiple quote cards, statuses, search/filter."
"Quote – List (Private)","Quote","iPhone 13 mini - 386.png","Quotes list private tab with single quote card and floating add button."
"Quote – Filters","Quote","iPhone 13 mini - 390.png","Quotes filter bottom sheet (status chips, duration presets) with apply/clear."
"Quote – Details (Info pending)","Quote","iPhone 13 mini - 415.png","Quotation Details info tab pending state showing cargo info and pickup/drop details."
"Quote – Details (Bids list)","Quote","iPhone 13 mini - 416.png","Quotation Details bids tab listing multiple bids with pricing and verification badges."
